PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
 30;30;32;-;6.46074;16.32;0;-;19:54:03
30;30;32;-;5.31052;6.12331;6.97282;-;19:54:04
30;30;32;-;5.45797;6.07942;20.7595;-;19:54:05
20;32;32;-;5.04439;5.5918;5.66142;-;19:54:06
21;32;33;-;5.40634;6.32409;6.68132;-;19:54:07
21;32;33;-;4.84161;5.4688;6.15759;-;19:54:08
21;33;34;-;4.84151;5.5093;5.73636;-;19:54:09
21;33;34;-;4.34477;4.84099;4.93489;-;19:54:10
21;33;34;-;4.43786;4.96562;6.36997;-;19:54:11
21;32;33;-;4.88385;5.46944;5.55525;-;19:54:12
21;32;33;-;5.05539;5.67552;5.77421;-;19:54:13
21;32;33;-;4.42679;5.15174;22.3329;-;19:54:14
