PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
 27;28;31;-;7.34526;7.37381;0;-;20:04:52
27;28;31;-;6.5128;7.43745;10.7037;-;20:04:53
26;26;29;-;6.66689;7.65467;8.76185;-;20:04:54
18;28;29;-;6.47502;7.23639;22.2332;-;20:04:55
18;28;29;-;6.71857;7.42996;8.36596;-;20:04:56
18;27;28;-;6.07393;6.80634;7.16972;-;20:04:57
18;27;28;-;5.42606;6.00368;6.05225;-;20:04:58
18;27;28;-;5.49957;6.26024;10.9007;-;20:04:59
18;27;28;-;5.8043;6.42309;7.31867;-;20:05:00
18;27;28;-;6.62772;7.36463;24.353;-;20:05:01
18;27;28;-;6.36148;7.28829;9.8622;-;20:05:02
19;27;28;-;6.0681;6.82667;7.42014;-;20:05:03
 32;32;26;-;6.8674;10.1892;0;-;20:14:02
30;30;27;-;7.73221;8.71984;13.5654;-;20:14:03
19;26;27;-;7.40614;8.68134;12.9679;-;20:14:04
19;26;27;-;7.61624;8.67163;9.40833;-;20:14:05
19;25;26;-;6.81565;7.52166;7.6078;-;20:14:06
19;25;26;-;7.63448;8.50529;10.8547;-;20:14:07
19;25;26;-;7.00067;7.78845;8.08352;-;20:14:08
12;22;22;-;7.54457;8.61374;8.71366;-;20:14:09
20;32;32;-;6.44671;7.51705;9.33923;-;20:14:10
20;36;36;-;6.98338;8.06199;9.31327;-;20:14:11
22;38;38;-;6.72323;7.89377;9.11282;-;20:14:12
15;30;30;-;6.59352;7.38775;7.49112;-;20:14:13
 30;32;29;-;6.04633;6.35657;0;-;20:23:12
29;31;31;-;6.65542;7.34523;18.8168;-;20:23:13
29;31;32;-;7.0261;8.2607;19.8816;-;20:23:14
19;30;32;-;6.36674;7.35821;14.8699;-;20:23:15
19;29;32;-;5.45076;6.30836;22.4765;-;20:23:16
19;29;32;-;6.04562;7.02806;7.75374;-;20:23:17
19;29;32;-;5.58471;6.4142;9.77459;-;20:23:18
18;29;31;-;5.99728;6.85081;7.02994;-;20:23:19
18;29;31;-;5.48206;6.32116;11.5852;-;20:23:20
18;29;31;-;5.2844;6.01089;12.8284;-;20:23:21
19;30;32;-;5.53633;6.55272;25.7663;-;20:23:22
19;30;32;-;5.8366;6.4015;6.67646;-;20:23:23
 29;30;29;-;13.2801;23.8244;0;-;20:32:22
29;30;29;-;8.63912;13.0128;43.4722;-;20:32:23
19;29;29;-;8.8226;13.6558;46.9556;-;20:32:24
19;29;29;-;8.43323;11.8938;31.7486;-;20:32:25
19;29;29;-;8.0258;10.6123;18.4605;-;20:32:26
19;29;29;-;7.78125;11.1488;20.1597;-;20:32:27
19;29;29;-;9.03535;13.205;41.1969;-;20:32:28
19;29;29;-;9.20837;13.802;34.7229;-;20:32:29
19;29;29;-;7.88;11.4812;29.364;-;20:32:30
18;29;30;-;7.96921;11.2542;23.5168;-;20:32:31
19;30;31;-;8.72848;13.6829;42.1564;-;20:32:32
19;30;31;-;8.91426;14.9785;88.6144;-;20:32:33
 22;24;29;-;6.95857;30.6908;0;-;20:41:32
22;24;29;-;6.47386;7.57928;20.1427;-;20:41:33
22;24;29;-;6.71233;7.86289;11.6993;-;20:41:34
18;26;29;-;5.96784;7.04123;16.6099;-;20:41:35
18;26;29;-;6.2886;7.89427;26.3494;-;20:41:36
18;26;29;-;6.70024;8.10843;19.2579;-;20:41:37
16;24;26;-;6.32451;7.72202;26.2866;-;20:41:38
16;24;26;-;6.7367;8.31645;52.4465;-;20:41:39
16;24;26;-;6.75253;8.57194;27.2663;-;20:41:40
17;23;25;-;6.31171;7.83708;32.4165;-;20:41:41
17;23;25;-;5.3323;6.71712;11.5734;-;20:41:42
17;23;25;-;5.80688;7.43359;33.2352;-;20:41:43
 27;29;31;-;7.18921;7.46688;0;-;20:50:42
27;29;31;-;5.96917;7.09776;14.854;-;20:50:43
20;31;32;-;6.66936;7.81071;11.4381;-;20:50:44
20;31;32;-;6.10479;7.38371;11.0931;-;20:50:45
20;31;32;-;6.47385;7.65583;25.3793;-;20:50:46
20;30;31;-;6.37711;7.71204;8.24503;-;20:50:47
20;30;31;-;6.00521;7.2678;10.9817;-;20:50:48
20;30;31;-;6.02542;7.51593;12.1554;-;20:50:49
19;29;30;-;6.15619;7.41716;10.0309;-;20:50:50
19;29;30;-;5.50142;6.79772;9.5533;-;20:50:51
19;29;30;-;5.79625;6.88608;9.76746;-;20:50:52
17;27;29;-;5.89514;6.85567;18.6472;-;20:50:53
 29;33;34;-;10.3398;10.7797;0;-;20:59:52
29;33;34;-;7.56082;8.62179;8.77922;-;20:59:53
28;34;34;-;7.65716;8.94699;10.6561;-;20:59:54
20;28;33;-;7.64659;8.90223;11.5612;-;20:59:55
20;28;33;-;8.25612;9.59571;25.1898;-;20:59:56
20;28;33;-;8.16404;9.34368;10.0142;-;20:59:57
19;28;33;-;7.76589;8.83793;9.77396;-;20:59:58
19;28;33;-;8.01173;9.11868;9.56878;-;20:59:59
21;28;32;-;7.9585;9.38188;10.2261;-;21:00:00
21;28;32;-;7.95691;9.3011;10.0873;-;21:00:01
20;28;32;-;8.0415;9.46747;9.84407;-;21:00:02
20;29;33;-;7.78512;9.0542;11.6709;-;21:00:03
 8;8;33;-;13.5937;14.4335;0;-;21:09:02
20;27;32;-;11.9207;14.0947;17.6814;-;21:09:03
19;26;30;-;12.2087;14.0388;17.1202;-;21:09:04
19;27;30;-;12.7136;14.4433;22.7974;-;21:09:05
18;26;30;-;12.4612;14.2246;31.371;-;21:09:06
19;32;34;-;12.109;14.063;16.8877;-;21:09:07
18;29;29;-;12.3268;14.2827;15.0153;-;21:09:08
18;29;29;-;11.434;13.5187;14.6754;-;21:09:09
18;27;27;-;11.097;12.9023;15.9295;-;21:09:10
18;27;27;-;11.5553;13.5838;25.5391;-;21:09:11
19;27;27;-;11.7265;13.4596;18.3146;-;21:09:12
19;27;27;-;11.3178;13.0147;15.9834;-;21:09:13
 24;24;25;-;9.99391;16.2057;0;-;21:18:12
18;25;25;-;9.79311;10.8571;21.4212;-;21:18:13
18;25;25;-;9.66101;11.1352;12.2876;-;21:18:14
18;25;25;-;9.64732;11.7049;27.8792;-;21:18:15
18;24;24;-;9.99756;11.9709;22.0591;-;21:18:16
18;24;24;-;8.84741;10.4055;39.1813;-;21:18:17
18;24;24;-;8.26964;9.55473;15.6056;-;21:18:18
18;24;24;-;8.96194;10.4793;11.8482;-;21:18:19
18;24;24;-;8.44259;10.1107;16.1128;-;21:18:20
18;24;24;-;7.88164;9.87004;21.7703;-;21:18:21
18;24;24;-;8.21492;9.69536;10.378;-;21:18:22
18;24;24;-;7.6334;9.47339;15.962;-;21:18:23
 16;22;22;-;11.689;14.6761;0;-;21:27:22
16;22;22;-;11.2742;13.253;35.7209;-;21:27:23
16;22;23;-;10.6154;12.4861;29.1154;-;21:27:24
16;22;23;-;10.8196;12.3613;16.1783;-;21:27:25
16;22;23;-;11.4631;13.4632;15.196;-;21:27:26
15;22;22;-;11.1311;13.1825;25.1351;-;21:27:27
15;22;22;-;11.0594;13.4138;16.7045;-;21:27:28
15;22;22;-;10.1612;12.1043;15.583;-;21:27:29
15;21;22;-;10.7371;12.8872;16.3797;-;21:27:30
15;21;22;-;11.2517;13.2832;17.5734;-;21:27:31
15;21;22;-;10.5426;12.1623;22.73;-;21:27:32
15;21;21;-;9.37133;10.8611;11.1823;-;21:27:33
 29;32;35;-;11.094;25.8426;0;-;21:36:32
19;31;35;-;9.87906;11.4383;34.6485;-;21:36:33
19;31;36;-;9.52567;10.8505;13.5432;-;21:36:34
20;32;36;-;10.8199;12.4884;16.8264;-;21:36:35
20;32;37;-;9.18836;10.84;11.8209;-;21:36:36
20;32;36;-;9.91263;11.7651;14.9056;-;21:36:37
19;31;34;-;9.36631;10.9469;14.7196;-;21:36:38
19;31;34;-;9.08898;10.2714;10.5339;-;21:36:39
19;31;34;-;8.87313;10.1025;10.3682;-;21:36:40
18;30;33;-;9.85462;11.7139;14.2049;-;21:36:41
18;30;33;-;9.47461;10.6654;11.1075;-;21:36:42
18;30;33;-;8.76768;10.0873;12.819;-;21:36:43
 22;32;34;-;11.1369;18.0509;0;-;21:45:42
23;33;39;-;10.397;11.7709;24.8028;-;21:45:43
22;33;36;-;10.1888;11.7085;45.7803;-;21:45:44
22;33;36;-;10.3222;12.2236;41.1727;-;21:45:45
22;32;34;-;10.2773;11.746;23.7792;-;21:45:46
21;33;35;-;10.0348;11.9021;18.1593;-;21:45:47
22;34;38;-;9.99341;11.7937;14.2159;-;21:45:48
22;34;38;-;10.3636;12.0773;13.8791;-;21:45:49
21;32;36;-;10.4745;12.5018;17.5728;-;21:45:50
21;32;35;-;9.93863;12.5412;26.7868;-;21:45:51
16;20;20;-;10.7198;13.4258;33.7488;-;21:45:52
18;30;33;-;10.4625;13.4536;23.8381;-;21:45:53
 29;32;33;-;13.7445;15.1841;0;-;21:54:52
19;31;34;-;12.0983;13.3479;14.1188;-;21:54:53
19;31;34;-;12.5323;14.1814;32.069;-;21:54:54
19;31;34;-;13.1441;14.975;15.8023;-;21:54:55
19;31;34;-;12.4155;14.0899;15.8985;-;21:54:56
19;31;34;-;12.3848;13.7536;15.2555;-;21:54:57
19;31;34;-;12.3554;14.081;20.4246;-;21:54:58
19;30;32;-;11.9846;13.8831;30.1989;-;21:54:59
19;30;32;-;12.1571;13.9342;15.9963;-;21:55:00
19;30;32;-;12.1719;13.8694;16.759;-;21:55:01
19;29;32;-;11.3436;13.0137;18.4666;-;21:55:02
19;29;32;-;12.4935;14.1123;16.937;-;21:55:03
 26;28;32;-;12.0253;18.5332;0;-;22:04:02
19;30;31;-;11.5463;13.7086;34.7491;-;22:04:03
19;30;31;-;10.8395;12.6499;32.1587;-;22:04:04
19;30;31;-;10.2054;11.8171;16.2921;-;22:04:05
19;28;28;-;10.1441;12.2053;20.3889;-;22:04:06
19;28;28;-;9.96023;11.6508;12.5716;-;22:04:07
19;28;28;-;10.7071;12.7897;26.879;-;22:04:08
19;27;28;-;9.74692;11.5533;23.8187;-;22:04:09
19;27;28;-;10.2446;12.2299;35.8949;-;22:04:10
19;27;28;-;10.5962;13.1534;21.0692;-;22:04:11
19;26;28;-;10.5778;12.6553;25.073;-;22:04:12
19;26;28;-;10.3482;12.2678;16.0088;-;22:04:13
 30;32;35;-;11.3955;13.2805;0;-;22:13:12
21;32;34;-;11.1702;13.3442;36.2105;-;22:13:13
21;32;34;-;10.8321;12.7275;14.5988;-;22:13:14
21;32;34;-;9.92935;11.7868;15.6543;-;22:13:15
21;32;35;-;10.1069;12.0909;16.1496;-;22:13:16
21;32;35;-;8.51351;10.1143;10.7991;-;22:13:17
21;32;35;-;8.77979;10.3898;27.7461;-;22:13:18
21;31;34;-;9.0837;10.7906;13.8509;-;22:13:19
21;31;34;-;8.54482;10.0919;16.9689;-;22:13:20
21;31;34;-;10.2583;12.2398;15.4712;-;22:13:21
21;30;32;-;8.86762;10.882;12.2163;-;22:13:22
21;30;32;-;9.30026;11.6413;19.6988;-;22:13:23
 22;22;32;-;11.585;14.136;0;-;22:22:22
20;30;30;-;9.99055;12.2962;78.9765;-;22:22:23
20;29;29;-;9.9802;11.6667;13.0019;-;22:22:24
20;29;29;-;9.481;11.2258;13.0674;-;22:22:25
21;30;30;-;9.10337;10.4243;11.5473;-;22:22:26
21;30;30;-;9.75741;11.4774;17.3356;-;22:22:27
22;33;37;-;11.138;13.3798;56.6124;-;22:22:28
22;34;39;-;10.5078;12.9319;15.5013;-;22:22:29
22;33;38;-;9.9367;11.661;15.6814;-;22:22:30
22;33;38;-;10.8748;12.1984;14.7534;-;22:22:31
22;32;36;-;10.4734;11.7457;12.4423;-;22:22:32
22;32;34;-;10.1354;11.8959;13.1456;-;22:22:33
 35;39;39;-;9.69892;20.0674;0;-;22:31:32
22;34;38;-;9.76225;11.2245;12.2439;-;22:31:33
22;34;38;-;9.82401;11.2163;16.8377;-;22:31:34
22;35;39;-;9.70795;10.9377;16.8147;-;22:31:35
22;34;38;-;9.23133;10.3346;10.7285;-;22:31:36
22;33;36;-;8.82099;10.0698;12.4548;-;22:31:37
