PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
5;10;6;-;1.04067;1.49999;0.695857;-;16:12:58
5;6;7;-;1.76794;2.18835;0.87597;-;16:17:59
5;9;6;-;2.35657;3.33245;2.93431;-;16:23:00
3;8;8;-;1.71735;2.24753;2.05653;-;16:28:01
4;8;4;-;1.85859;2.21398;2.04724;-;16:33:02
5;10;6;-;1.69292;2.40125;1.09891;-;16:38:03
6;11;11;-;2.18269;3.04697;2.06338;-;16:43:04
5;6;9;-;2.42031;2.84197;2.31367;-;16:48:05
4;9;4;-;1.65456;2.50122;1.32319;-;16:53:06
5;10;10;-;2.3063;3.09126;2.23166;-;16:58:07
4;8;4;-;1.74805;2.22287;1.43351;-;17:03:08
3;7;7;-;1.76124;2.16819;1.58703;-;17:08:09
3;8;4;-;1.01587;1.57096;0.82117;-;17:13:10
2;3;5;-;1.53466;1.89464;1.58251;-;17:18:11
4;4;6;-;1.37945;2.18419;0.982182;-;17:23:12
3;8;8;-;1.12523;1.75762;1.00515;-;17:28:13
3;3;5;-;1.07687;1.2165;0.912297;-;17:33:14
3;7;8;-;1.43328;1.66951;1.65982;-;17:38:15
2;3;5;-;1.92375;2.43071;2.16161;-;17:43:16
4;4;5;-;1.81804;2.1485;1.86077;-;17:48:17
3;3;6;-;1.05912;1.46598;0.683036;-;17:53:18
2;3;4;-;1.15231;1.2773;1.01295;-;17:58:19
2;3;4;-;1.47676;2.19498;1.49953;-;18:03:20
4;11;11;-;1.27013;2.10429;1.56422;-;18:08:21
3;4;5;-;0.820293;1.04102;0.648995;-;18:13:22
3;3;5;-;1.12802;1.63302;0.72058;-;18:18:23
4;4;7;-;1.18779;1.39675;0.921542;-;18:23:24
4;7;4;-;1.67113;2.44208;1.49236;-;18:28:25
3;4;6;-;1.72577;3.00988;1.75797;-;18:33:26
5;11;11;-;1.90011;2.38121;2.52027;-;18:38:27
3;8;8;-;1.57451;2.39585;1.85256;-;18:43:28
3;7;4;-;1.93711;2.84248;2.27237;-;18:48:29
3;8;4;-;1.37965;2.23274;1.38915;-;18:53:30
3;10;4;-;1.87987;2.76171;2.42483;-;18:58:31
3;7;7;-;1.79262;2.2011;1.52106;-;19:03:32
3;8;4;-;1.43626;2.26446;0.984785;-;19:08:33
4;8;4;-;1.27164;1.8714;1.12916;-;19:13:34
4;4;6;-;1.56975;2.20681;2.02203;-;19:18:35
3;3;5;-;2.28736;2.64262;2.64469;-;19:23:36
4;4;7;-;1.68582;2.19658;1.95662;-;19:28:37
3;3;4;-;1.24661;1.41395;1.60017;-;19:33:38
3;3;6;-;1.7396;2.23634;1.25485;-;19:38:39
2;8;3;-;2.2595;2.59269;1.92701;-;19:43:40
6;7;7;-;3.28552;3.55861;2.71743;-;19:48:41
2;7;3;-;1.30911;2.00942;1.47135;-;19:53:42
6;10;7;-;2.87537;3.4293;2.82735;-;19:58:43
6;11;11;-;3.10475;3.76488;3.16195;-;20:03:44
5;5;8;-;3.85131;4.90735;4.3158;-;20:08:45
6;7;9;-;2.98622;3.72144;3.15049;-;20:13:46
6;14;7;-;4.69915;5.67234;5.38107;-;20:18:47
5;5;9;-;2.55559;2.98659;2.3512;-;20:23:48
5;9;9;-;3.4337;4.27073;3.41098;-;20:28:49
4;11;11;-;2.89926;3.50979;2.74184;-;20:33:50
3;8;9;-;2.75397;3.64158;3.19495;-;20:38:51
3;9;10;-;3.03269;4.01181;3.34802;-;20:43:52
5;11;12;-;3.03917;3.43665;2.98178;-;20:48:53
4;9;5;-;2.1382;2.42915;2.05264;-;20:53:54
4;9;5;-;3.05766;3.90104;3.281;-;20:58:55
4;11;10;-;3.00255;3.73427;3.3465;-;21:03:56
4;10;4;-;2.30338;2.79143;1.754;-;21:08:57
5;9;12;-;3.26983;4.12144;3.4334;-;21:13:58
5;11;5;-;4.01283;4.91982;5.30785;-;21:18:59
4;10;11;-;2.82486;3.54811;2.70306;-;21:24:00
5;10;5;-;2.69794;3.2065;2.76154;-;21:29:01
4;9;4;-;1.93497;2.92872;1.52709;-;21:34:02
6;12;7;-;3.8111;5.41908;4.62907;-;21:39:03
6;6;8;-;2.81125;3.18706;2.08369;-;21:44:04
6;10;6;-;2.07533;2.96797;1.73695;-;21:49:05
5;11;5;-;2.7884;3.76588;3.44299;-;21:54:06
5;10;5;-;2.72045;3.5819;2.04907;-;21:59:07
4;10;4;-;2.41104;2.84731;1.95188;-;22:04:08
6;10;6;-;2.9486;3.53905;3.73225;-;22:09:09
5;10;10;-;2.37039;3.1287;2.16442;-;22:14:10
6;12;6;-;2.59797;3.0094;2.33908;-;22:19:11
6;12;6;-;2.68509;3.69649;3.19977;-;22:24:12
6;11;11;-;2.06381;2.53798;1.37547;-;22:29:13
5;10;5;-;2.95064;3.30888;3.23848;-;22:34:14
6;6;9;-;2.33064;2.76867;2.77831;-;22:39:15
7;13;7;-;2.94604;3.73807;3.49857;-;22:44:16
6;6;8;-;2.41606;2.7163;2.26521;-;22:49:17
7;11;8;-;2.40363;3.07057;2.77167;-;22:54:18
6;11;12;-;2.86405;3.36811;2.08761;-;22:59:19
4;5;7;-;2.90935;3.66396;3.15251;-;23:04:20
4;9;5;-;3.3852;3.892;4.26521;-;23:09:21
4;5;7;-;1.94483;2.34255;2.18196;-;23:14:22
6;9;6;-;2.49668;3.25513;2.17943;-;23:19:23
6;11;6;-;1.40877;1.66792;0.935915;-;23:24:24
7;13;14;-;3.62315;4.29419;5.10893;-;23:29:25
5;10;5;-;2.07009;2.39686;1.78443;-;23:34:26
5;6;7;-;3.24944;4.67024;3.60678;-;23:39:27
5;11;12;-;2.14533;2.57642;2.3245;-;23:44:28
5;10;6;-;2.7787;3.12517;2.81284;-;23:49:29
5;9;5;-;2.54863;3.40677;2.82377;-;23:54:30
7;15;16;-;2.34879;2.79043;1.99922;-;23:59:31
5;5;7;-;2.8388;3.66364;3.06631;-;00:04:32
6;6;10;-;2.65686;3.03719;2.66509;-;00:09:33
6;11;6;-;3.30485;4.54799;3.34125;-;00:14:34
6;10;6;-;2.52344;3.25935;2.48231;-;00:19:35
6;11;6;-;2.05676;3.05074;2.44243;-;00:24:36
5;10;5;-;2.58353;3.07809;2.21751;-;00:29:37
7;8;10;-;2.0533;2.44789;2.09927;-;00:34:38
5;5;6;-;1.6771;2.13833;1.40323;-;00:39:39
5;12;6;-;1.78503;2.22331;1.48167;-;00:44:40
7;16;16;-;2.36055;2.90114;2.68863;-;00:49:41
6;6;8;-;2.11369;2.90779;2.48005;-;00:54:42
5;11;11;-;2.48084;2.84143;2.43977;-;00:59:43
6;11;6;-;2.10445;2.59195;1.6205;-;01:04:44
5;11;12;-;2.68505;3.12069;3.17372;-;01:09:45
6;12;6;-;3.51407;4.47725;3.89687;-;01:14:46
6;6;9;-;2.09214;2.49284;1.89861;-;01:19:47
5;12;12;-;2.38578;2.86375;2.01109;-;01:24:48
6;6;8;-;2.97159;3.7341;3.47423;-;01:29:49
5;10;6;-;2.34873;2.84759;2.46448;-;01:34:50
7;12;8;-;2.33043;2.87628;2.53286;-;01:39:51
6;6;8;-;2.40295;2.78357;2.7758;-;01:44:52
5;9;5;-;2.60164;3.13875;3.10758;-;01:49:53
7;13;14;-;1.45196;1.67918;1.065;-;01:54:54
4;11;5;-;2.88228;3.83065;2.97353;-;01:59:55
6;12;6;-;2.3925;2.82353;2.76406;-;02:04:56
6;14;6;-;2.83757;3.63165;2.91308;-;02:09:57
5;6;8;-;2.30843;2.89538;3.08197;-;02:14:58
5;11;11;-;2.49132;2.94446;2.51226;-;02:19:59
6;13;14;-;1.98177;2.75507;1.80846;-;02:25:00
6;6;8;-;2.56927;3.19117;2.1423;-;02:30:01
5;9;5;-;2.43946;2.82924;2.80474;-;02:35:02
5;10;5;-;2.94456;3.33144;3.40261;-;02:40:03
5;10;5;-;1.84185;2.41899;1.94919;-;02:45:04
6;11;11;-;1.88906;2.20391;1.58932;-;02:50:05
4;5;9;-;2.55075;3.04907;2.72548;-;02:55:06
4;4;6;-;1.67311;2.38991;1.36787;-;03:00:07
5;5;8;-;1.83068;2.48153;1.89977;-;03:05:08
3;4;6;-;2.08542;2.33276;2.45171;-;03:10:09
4;5;7;-;2.16861;2.85701;2.48585;-;03:15:10
4;10;5;-;1.59289;1.81835;1.05047;-;03:20:11
4;5;7;-;1.99686;2.47472;1.18203;-;03:25:12
6;6;9;-;2.15285;2.55105;1.94386;-;03:30:13
4;4;7;-;2.24471;2.79769;2.26294;-;03:35:14
4;9;4;-;2.21045;3.18614;2.66528;-;03:40:15
3;9;4;-;1.39716;1.61664;1.26637;-;03:45:16
5;9;10;-;2.36832;3.36476;2.40192;-;03:50:17
4;4;6;-;1.41602;1.70256;0.759496;-;03:55:18
4;8;9;-;1.25605;1.42456;0.970164;-;04:00:19
4;9;4;-;1.89393;2.19901;1.99901;-;04:05:20
4;9;9;-;1.84131;2.16289;2.01835;-;04:10:21
3;4;6;-;1.51707;1.65747;1.65664;-;04:15:22
3;8;8;-;1.42774;1.89906;1.36046;-;04:20:23
3;7;7;-;1.50884;2.29653;1.96395;-;04:25:24
3;4;4;-;1.30441;1.60252;0.801548;-;04:30:25
3;9;4;-;1.64172;1.90656;1.49569;-;04:35:26
3;7;3;-;1.33876;1.64042;1.13936;-;04:40:27
3;3;5;-;1.16769;1.30251;0.701928;-;04:45:28
2;8;8;-;1.04806;1.27632;1.40234;-;04:50:29
3;4;5;-;1.0908;1.43598;1.24908;-;04:55:30
3;6;4;-;1.00184;1.35465;0.854605;-;05:00:31
3;3;5;-;1.45364;1.85961;1.69839;-;05:05:32
2;6;3;-;1.22445;1.55934;0.651082;-;05:10:33
3;4;4;-;1.70861;2.28911;1.41797;-;05:15:34
2;10;11;-;1.4035;1.82657;1.40198;-;05:20:35
2;6;3;-;1.00912;1.30007;1.03043;-;05:25:36
2;6;8;-;2.03385;3.50676;2.60262;-;05:30:37
3;7;7;-;1.49905;2.28168;1.46896;-;05:35:38
3;3;4;-;1.88478;2.8904;1.50325;-;05:40:39
2;6;6;-;1.37588;2.26545;1.38312;-;05:45:40
2;5;3;-;0.807305;1.40237;0.419069;-;05:50:41
2;7;3;-;1.40444;1.86508;1.27263;-;05:55:42
3;8;4;-;2.14849;3.1606;1.65372;-;06:00:43
3;10;4;-;2.26846;3.17622;1.97817;-;06:05:44
3;10;4;-;1.9027;2.77425;0.934845;-;06:10:45
5;5;8;-;2.47122;3.44358;2.89006;-;06:15:46
5;11;5;-;2.21708;2.75644;2.48256;-;06:20:47
6;11;15;-;1.58983;2.06152;1.66594;-;06:25:48
5;10;5;-;2.94091;4.18783;2.76675;-;06:30:49
5;10;5;-;2.44053;3.05873;2.20607;-;06:35:50
6;10;11;-;2.28569;2.92759;2.46155;-;06:40:51
6;10;11;-;3.01874;3.55168;2.9036;-;06:45:52
6;11;6;-;3.77451;4.62789;4.83381;-;06:50:53
7;11;8;-;3.78064;4.47002;3.42967;-;06:55:54
9;15;9;-;3.18693;3.71962;2.75627;-;07:00:55
9;16;9;-;2.70142;3.71801;2.24088;-;07:05:56
8;12;8;-;3.96958;5.1497;3.31164;-;07:10:57
9;17;18;-;3.38404;4.42583;3.47382;-;07:15:58
8;9;10;-;3.58418;4.27723;4.01521;-;07:20:59
8;11;12;-;3.91595;5.1976;4.78667;-;07:26:00
7;13;8;-;3.04258;4.02546;3.16409;-;07:31:01
5;12;6;-;3.41454;4.32167;4.02471;-;07:36:02
7;11;8;-;3.36638;4.36853;2.88777;-;07:41:03
6;14;14;-;3.25453;4.24963;3.21915;-;07:46:04
5;10;11;-;3.47151;4.67633;3.86861;-;07:51:05
5;5;7;-;3.25546;4.41956;3.43397;-;07:56:06
4;11;5;-;2.38992;3.25913;2.06051;-;08:01:07
7;11;10;-;3.01827;4.30206;3.63607;-;08:06:08
4;9;9;-;2.43021;2.76639;2.6708;-;08:11:09
6;11;6;-;2.31461;3.1874;2.02382;-;08:16:10
