PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
 123;0;0;-;4.19187;4.40829;0;-;16:05:42
101;0;0;-;2.88063;3.59112;3.68419;-;16:05:43
110;0;0;-;3.77466;5.19164;5.7754;-;16:05:44
100;0;0;-;4.42692;4.70122;4.70188;-;16:05:45
105;0;0;-;3.01688;3.84462;6.33647;-;16:05:46
102;0;0;-;3.27337;3.74732;3.78401;-;16:05:47
125;0;0;-;2.84834;3.35076;3.36329;-;16:05:48
37;0;0;-;2.92248;3.64317;3.68319;-;16:05:49
123;0;0;-;2.97998;4.2818;4.42712;-;16:05:50
109;0;0;-;3.82244;5.22076;7.75558;-;16:05:51
101;0;0;-;3.69723;4.21894;4.22556;-;16:05:52
115;0;0;-;3.45743;4.08976;4.10292;-;16:05:53
