PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
17;22;24;-;6.45647;7.14979;6.7446;-;20:06:52
16;16;23;-;6.28392;7.2652;5.85555;-;20:16:02
19;24;28;-;5.48704;6.22668;5.30125;-;20:25:12
19;20;25;-;8.6514;13.5625;8.62317;-;20:34:22
17;19;22;-;5.77074;7.1866;5.68423;-;20:43:32
17;17;23;-;5.95999;7.05886;6.07092;-;20:52:42
20;24;30;-;8.37555;9.77419;8.86084;-;21:01:52
10;17;2;-;11.4578;13.4163;11.4493;-;21:11:02
17;24;18;-;8.12641;9.83363;8.31622;-;21:20:12
15;21;21;-;9.93462;11.7073;9.80933;-;21:29:22
18;29;19;-;9.37739;10.7847;9.63449;-;21:38:32
18;26;27;-;10.1566;12.1567;9.86892;-;21:47:42
18;29;19;-;12.0099;13.7638;11.8966;-;21:56:52
18;26;19;-;10.1242;12.2383;9.83664;-;22:06:02
20;30;21;-;9.47202;11.3841;9.69573;-;22:15:12
17;27;14;-;10.0988;11.7543;9.88148;-;22:24:22
22;34;22;-;8.51299;9.89243;8.4114;-;22:33:32
21;29;22;-;8.31056;9.64935;7.88824;-;22:42:42
20;31;21;-;8.28407;9.44246;8.27078;-;22:51:52
20;29;20;-;7.53918;8.59926;7.48413;-;23:01:02
18;31;19;-;7.76845;8.98347;7.92392;-;23:10:12
19;27;19;-;6.83386;7.65605;6.75265;-;23:19:22
17;23;17;-;6.50113;7.5091;6.4153;-;23:28:32
22;35;28;-;5.69362;6.5068;5.80982;-;23:37:42
17;24;18;-;4.82758;5.51243;4.71028;-;23:46:52
15;19;15;-;5.01779;5.60598;4.85277;-;23:56:02
14;19;14;-;5.08101;5.60331;4.86894;-;00:05:12
9;13;14;-;6.31439;7.09341;6.49652;-;00:14:22
12;16;13;-;6.52567;7.37203;6.40789;-;00:23:32
11;15;11;-;6.48664;7.40551;6.3712;-;00:32:42
12;17;13;-;5.24316;5.89155;5.09544;-;00:41:52
11;16;16;-;4.84104;5.46737;5.04426;-;00:51:02
14;21;15;-;4.82335;5.38506;4.79901;-;01:00:12
13;19;13;-;5.09156;5.75489;5.33633;-;01:09:22
13;20;13;-;5.30303;6.05702;5.00277;-;01:18:32
7;12;4;-;5.09837;5.68712;5.19912;-;01:27:42
10;14;10;-;5.21637;5.89138;5.13961;-;01:36:52
12;17;13;-;5.61165;6.42179;5.78279;-;01:46:02
12;17;13;-;4.75323;5.47442;4.5406;-;01:55:12
9;13;13;-;4.16056;4.66897;3.90613;-;02:04:22
8;6;11;-;4.53747;5.12876;4.58163;-;02:13:32
11;15;12;-;4.86431;5.63547;5.19032;-;02:22:42
11;15;11;-;4.9935;5.81682;5.04259;-;02:31:52
9;12;8;-;5.3004;6.0824;5.38202;-;02:41:02
9;12;9;-;5.1801;5.82836;5.28576;-;02:50:12
